,Unnamed: 0,full_name,speciality,level,area,salary,employer,schedule,remote,skills,date,python,sql,pytorch,apache,git,java,eng
24,24,Скоринг-аналитик / Data scientist / Аналитик (скоринг),data scientist,unknown,Москва,0,other,1,0,"{'requirement': 'Высшее/неполное высшее образование. Python – pandas, numpy, sklearn, matplotlib/seaborn. SQL базовый – умеешь писать подзапросы, простые join-ы. ', 'responsibility': 'Заниматься разработкой, валидацией и актуализацией скоринговых моделей для целей принятия кредитных решений. Написание SQL запросов, выгрузка и подготовка данных. '}",2022-12-13,1,1,1,0,0,0,Moscow
25,25,Chief Data Science (Цифровой кредитный мониторинг),data scientist,chief,Москва,0,СБЕР,1,0,"{'requirement': 'Знание стека Machine Learning (NLP, XGBoost и аналоги, TimeSeries, CV) и Deep learning (Keras/TensorFlow/PyTorch), Big <highlighttext>Data</highlighttext> (Apache Hadoop...', 'responsibility': 'Анализ и утверждение предложенных <highlighttext>Data</highlighttext> <highlighttext>Scientist</highlighttext> методов моделирования для решения бизнес-задачи. Разработка и/или утверждение предложенной <highlighttext>Data</highlighttext> <highlighttext>Scientist</highlighttext> архитектуры...'}",2022-12-07,0,0,1,1,0,0,Moscow
26,26,Chief Data Scientist / DS Team Lead,data scientist,chief,Москва,0,other,1,0,"{'requirement': 'Proven ability to merge and transform disparate internal & external <highlighttext>data</highlighttext> sets together to create new features. Experience with Big <highlighttext>Data</highlighttext>...', 'responsibility': 'Collaborate, coach, and learn with a growing team of experienced <highlighttext>Data</highlighttext> <highlighttext>Scientists</highlighttext> and <highlighttext>Data</highlighttext> Trainees. Collaborate with business partners to...'}",2022-12-14,0,0,1,0,0,0,Moscow
27,27,Data analyst (аналитик данных),data analyst,unknown,Екатеринбург,1,other,1,0,"{'requirement': 'Опыт работы <highlighttext>аналитиком</highlighttext> от 1 года. Аналитический склад ума и внимание к деталям. Отличное знание MS Excel. Опыт работы в...', 'responsibility': 'Составление/доработка методики формирования отчетов. Заведение заданий команде <highlighttext>Data</highlighttext> <highlighttext>Scientists</highlighttext> / <highlighttext>Data</highlighttext> Engineers. Проверка первичных отчетов на корректность, относительно данных базы...'}",2022-11-23,0,0,1,0,0,0,Ekaterinburg
28,28,Data Analyst (DA)/Data Engineer(DE),data analyst,unknown,Москва,0,СБЕР,1,0,"{'requirement': 'Имеешь опыт в роли <highlighttext>Data</highlighttext>-<highlighttext>аналитика</highlighttext>/<highlighttext>Data</highlighttext>-инженера/ML- инженера или разработчика. Необходимы отличные навыки работы с SQL (аналитические функции...', 'responsibility': 'Совместно с <highlighttext>Data</highlighttext> <highlighttext>scientist</highlighttext>-ами и другими <highlighttext>Data</highlighttext> engineer-ами блока Риски, ты будешь внедрять математические модели в работающие процессы.'}",2022-12-14,0,1,1,0,0,0,Moscow
29,29,Data Analyst Python,data analyst,unknown,Москва,0,other,1,0,"{'requirement': 'The team consists of motivated, expert artisans who have been meticulously picked and professionally ""spread"" around the organization\'s territory. ', 'responsibility': 'Typical Duties Include:'}",2022-12-08,0,0,1,0,0,0,Moscow
30,30,Data analyst/ Data Scientist (удаленно),data scientist,unknown,Москва,0,other,1,1,"{'requirement': 'Опыт работы с большими массивами данных. Знание SQL (в том числе оконные функции, cte, индексы, view, оптимизация запросов). ', 'responsibility': '<highlighttext>Data</highlighttext> Engineering: формирование <highlighttext>data</highlighttext> pipelines, архитектуры базы данных, ETL. System analysis: написание документации, формализация требований к проектам; изучение документации сторонних...'}",2022-11-28,0,1,1,0,0,0,Moscow
31,31,Data engineer,data engineer,unknown,Москва,0,СБЕР,1,0,"{'requirement': 'Не менее 3-х лет работы в качестве <highlighttext>Data</highlighttext> Engineer / <highlighttext>Data</highlighttext> <highlighttext>Analyst</highlighttext> / ETL Developer. Знание SQL на продвинутом уровне (аналитические...', 'responsibility': '...по вопросам работы с данными. Предоставление экспертной поддержки внутренним потребителям (<highlighttext>data</highlighttext> <highlighttext>analysts</highlighttext>, <highlighttext>data</highlighttext> <highlighttext>scientists</highlighttext>) по вопросам, связанным с использованием данных.'}",2022-12-20,0,1,1,0,0,0,Moscow
32,32,Data engineer,data engineer,unknown,Москва,0,СБЕР,1,0,"{'requirement': 'Не менее 3-х лет работы в качестве <highlighttext>Data</highlighttext> Engineer / <highlighttext>Data</highlighttext> <highlighttext>Analyst</highlighttext> / ETL Developer. Знание SQL на продвинутом уровне (аналитические...', 'responsibility': '...по вопросам работы с данными. Предоставление экспертной поддержки внутренним потребителям (<highlighttext>data</highlighttext> <highlighttext>analysts</highlighttext>, <highlighttext>data</highlighttext> <highlighttext>scientists</highlighttext>) по вопросам, связанным с использованием данных.'}",2022-12-13,0,1,1,0,0,0,Moscow
33,33,Data Engineer,data engineer,unknown,Москва,0,other,0,1,"{'requirement': 'Работа с прочими СУБД в роли разработчика/<highlighttext>аналитика</highlighttext>. Написание пайплайнов в Airflow / NiFi / etc. Redash / Grafana / Superset / etc. ', 'responsibility': 'Участие в аналитических исследованиях. Предоставлять экспертную поддержку внутренним потребителям (<highlighttext>data</highlighttext> <highlighttext>analysts</highlighttext>, <highlighttext>data</highlighttext> <highlighttext>scientists</highlighttext>). Поддержка и развитие базы знаний.'}",2022-12-07,0,0,1,0,0,0,Moscow
34,34,Data Engineer,data engineer,unknown,Санкт-Петербург,0,СБЕР,1,0,"{'requirement': 'Знание SQL. Joinы, агрегаты, группировки, вложенные запросы, индексы, хранимые процедуры, оконные функции. Опыт разработки на Scala и/или Java от...', 'responsibility': 'Разработка и внедрение в production кода подготовки витрин данных для моделирования и различных систем Банка (на стеке Scala + Spark). '}",2022-11-28,0,1,1,0,0,1,Saint Petersburg
35,35,Data Engineer,data engineer,unknown,Москва,0,other,1,0,"{'requirement': 'Знание основных файловых форматов данных, их преимущество и недостатков (csv, json, xml). Опыт работы с <highlighttext>Data</highlighttext> Science (построение прогнозных моделей...', 'responsibility': '...совместно с <highlighttext>data</highlighttext> science командой. Развивать и улучшать существующие продукты и сервисы. Поддерживать <highlighttext>data</highlighttext> <highlighttext>scientist</highlighttext>’ов и <highlighttext>аналитиков</highlighttext> данных в...'}",2022-11-25,0,0,1,0,0,0,Moscow
